N,M,maximum_ci_width,p0,rho,null_replicates,alternative_replicates,false_positive_rate,power
25,200,0.1,0.3,0.05,2000,2000,0.004,1.0
25,200,0.1,0.3,0.1,2000,2000,0.006,1.0
25,200,0.1,0.5,0.01,2000,2000,0.0015,1.0
25,200,0.1,0.5,0.05,2000,2000,0.0055,1.0
25,200,0.1,0.5,0.1,2000,2000,0.0045,1.0
25,200,0.12,0.1,0.01,2000,2000,0.003,1.0
25,200,0.12,0.1,0.05,2000,2000,0.0055,1.0
25,200,0.12,0.1,0.1,2000,2000,0.001,1.0
25,200,0.12,0.3,0.01,2000,2000,0.004,1.0
25,200,0.12,0.3,0.05,2000,2000,0.003,1.0
25,200,0.12,0.3,0.1,2000,2000,0.004,1.0
25,200,0.12,0.5,0.01,2000,2000,0.003,1.0
25,200,0.12,0.5,0.05,2000,2000,0.0015,1.0
25,200,0.12,0.5,0.1,2000,2000,0.003,1.0
25,200,0.15,0.1,0.01,2000,2000,0.002,1.0
25,200,0.15,0.1,0.05,2000,2000,0.0025,1.0
25,200,0.15,0.1,0.1,2000,2000,0.002,1.0
25,200,0.15,0.3,0.01,2000,2000,0.003,1.0
25,200,0.15,0.3,0.05,2000,2000,0.003,1.0
25,200,0.15,0.3,0.1,2000,2000,0.0035,1.0
25,200,0.15,0.5,0.01,2000,2000,0.0035,1.0
25,200,0.15,0.5,0.05,2000,2000,0.002,1.0
25,200,0.15,0.5,0.1,2000,2000,0.0045,1.0
30,50,0.08,0.1,0.01,2000,2000,0.003,1.0
30,50,0.08,0.1,0.05,2000,2000,0.0045,0.9995
30,50,0.08,0.1,0.1,2000,2000,0.002,0.9995
30,50,0.08,0.3,0.01,2000,2000,0.0,0.817
30,50,0.08,0.3,0.05,2000,2000,0.002,0.8565
30,50,0.08,0.3,0.1,2000,2000,0.0035,0.89
30,50,0.08,0.5,0.01,2000,2000,0.003,0.6155
30,50,0.08,0.5,0.05,2000,2000,0.003,0.6945
30,50,0.08,0.5,0.1,2000,2000,0.002,0.7635
30,50,0.1,0.1,0.01,2000,2000,0.005,0.9995
30,50,0.1,0.1,0.05,2000,2000,0.0025,0.9995
30,50,0.1,0.1,0.1,2000,2000,0.0025,0.9995
30,50,0.1,0.3,0.01,2000,2000,0.003,0.928
30,50,0.1,0.3,0.05,2000,2000,0.004,0.937
30,50,0.1,0.3,0.1,2000,2000,0.0025,0.946
30,50,0.1,0.5,0.01,2000,2000,0.0025,0.8725
30,50,0.1,0.5,0.05,2000,2000,0.0025,0.9035
30,50,0.1,0.5,0.1,2000,2000,0.0015,0.9175
30,50,0.12,0.1,0.01,2000,2000,0.002,0.999
30,50,0.12,0.1,0.05,2000,2000,0.0045,0.9995
30,50,0.12,0.1,0.1,2000,2000,0.0025,1.0
30,50,0.12,0.3,0.01,2000,2000,0.0025,0.9285
30,50,0.12,0.3,0.05,2000,2000,0.005,0.9385
30,50,0.12,0.3,0.1,2000,2000,0.0045,0.955
30,50,0.12,0.5,0.01,2000,2000,0.003,0.886
30,50,0.12,0.5,0.05,2000,2000,0.0035,0.905
30,50,0.12,0.5,0.1,2000,2000,0.004,0.9125
30,50,0.15,0.1,0.01,2000,2000,0.0035,0.999
30,50,0.15,0.1,0.05,2000,2000,0.003,0.9995
30,50,0.15,0.1,0.1,2000,2000,0.004,1.0
30,50,0.15,0.3,0.01,2000,2000,0.005,0.9385
30,50,0.15,0.3,0.05,2000,2000,0.0025,0.945
30,50,0.15,0.3,0.1,2000,2000,0.0035,0.956
30,50,0.15,0.5,0.01,2000,2000,0.0035,0.8915
30,50,0.15,0.5,0.05,2000,2000,0.003,0.885
30,50,0.15,0.5,0.1,2000,2000,0.003,0.9105
30,100,0.08,0.1,0.01,2000,2000,0.0025,1.0
30,100,0.08,0.1,0.05,2000,2000,0.0035,1.0
30,100,0.08,0.1,0.1,2000,2000,0.001,1.0
30,100,0.08,0.3,0.01,2000,2000,0.0035,0.999
30,100,0.08,0.3,0.05,2000,2000,0.0025,0.9995
30,100,0.08,0.3,0.1,2000,2000,0.0035,1.0
30,100,0.08,0.5,0.01,2000,2000,0.0025,0.9975
30,100,0.08,0.5,0.05,2000,2000,0.003,1.0
30,100,0.08,0.5,0.1,2000,2000,0.0025,0.999
30,100,0.1,0.1,0.01,2000,2000,0.0055,1.0
30,100,0.1,0.1,0.05,2000,2000,0.0015,1.0
30,100,0.1,0.1,0.1,2000,2000,0.0035,1.0
30,100,0.1,0.3,0.01,2000,2000,0.003,0.9995
30,100,0.1,0.3,0.05,2000,2000,0.001,0.9995
30,100,0.1,0.3,0.1,2000,2000,0.0015,1.0
30,100,0.1,0.5,0.01,2000,2000,0.004,0.9975
30,100,0.1,0.5,0.05,2000,2000,0.0055,0.998
30,100,0.1,0.5,0.1,2000,2000,0.0025,0.9995
30,100,0.12,0.1,0.01,2000,2000,0.0025,1.0
30,100,0.12,0.1,0.05,2000,2000,0.004,1.0
30,100,0.12,0.1,0.1,2000,2000,0.003,1.0
30,100,0.12,0.3,0.01,2000,2000,0.003,0.999
30,100,0.12,0.3,0.05,2000,2000,0.005,1.0
30,100,0.12,0.3,0.1,2000,2000,0.003,0.9995
30,100,0.12,0.5,0.01,2000,2000,0.0045,0.998
30,100,0.12,0.5,0.05,2000,2000,0.002,0.999
30,100,0.12,0.5,0.1,2000,2000,0.0025,0.998
30,100,0.15,0.1,0.01,2000,2000,0.001,1.0
30,100,0.15,0.1,0.05,2000,2000,0.005,1.0
30,100,0.15,0.1,0.1,2000,2000,0.003,1.0
30,100,0.15,0.3,0.01,2000,2000,0.003,1.0
30,100,0.15,0.3,0.05,2000,2000,0.002,0.9995
30,100,0.15,0.3,0.1,2000,2000,0.003,1.0
30,100,0.15,0.5,0.01,2000,2000,0.0015,0.998
30,100,0.15,0.5,0.05,2000,2000,0.0015,0.9995
30,100,0.15,0.5,0.1,2000,2000,0.002,0.9995
30,200,0.08,0.1,0.01,2000,2000,0.003,1.0
30,200,0.08,0.1,0.05,2000,2000,0.0025,1.0
30,200,0.08,0.1,0.1,2000,2000,0.003,1.0
30,200,0.08,0.3,0.01,2000,2000,0.0015,1.0
30,200,0.08,0.3,0.05,2000,2000,0.002,1.0
30,200,0.08,0.3,0.1,2000,2000,0.0015,1.0
30,200,0.08,0.5,0.01,2000,2000,0.004,1.0
30,200,0.08,0.5,0.05,2000,2000,0.003,1.0
30,200,0.08,0.5,0.1,2000,2000,0.002,1.0
30,200,0.1,0.1,0.01,2000,2000,0.003,1.0
30,200,0.1,0.1,0.05,2000,2000,0.004,1.0
30,200,0.1,0.1,0.1,2000,2000,0.0005,1.0
30,200,0.1,0.3,0.01,2000,2000,0.0035,1.0
30,200,0.1,0.3,0.05,2000,2000,0.0015,1.0
30,200,0.1,0.3,0.1,2000,2000,0.004,1.0
30,200,0.1,0.5,0.01,2000,2000,0.0025,1.0
30,200,0.1,0.5,0.05,2000,2000,0.003,1.0
30,200,0.1,0.5,0.1,2000,2000,0.0015,1.0
30,200,0.12,0.1,0.01,2000,2000,0.002,1.0
30,200,0.12,0.1,0.05,2000,2000,0.0035,1.0
30,200,0.12,0.1,0.1,2000,2000,0.004,1.0
30,200,0.12,0.3,0.01,2000,2000,0.002,1.0
30,200,0.12,0.3,0.05,2000,2000,0.004,1.0
30,200,0.12,0.3,0.1,2000,2000,0.0035,1.0
30,200,0.12,0.5,0.01,2000,2000,0.0045,1.0
30,200,0.12,0.5,0.05,2000,2000,0.002,1.0
30,200,0.12,0.5,0.1,2000,2000,0.002,1.0
30,200,0.15,0.1,0.01,2000,2000,0.0045,1.0
30,200,0.15,0.1,0.05,2000,2000,0.004,1.0
30,200,0.15,0.1,0.1,2000,2000,0.006,1.0
30,200,0.15,0.3,0.01,2000,2000,0.003,1.0
30,200,0.15,0.3,0.05,2000,2000,0.001,1.0
30,200,0.15,0.3,0.1,2000,2000,0.0025,1.0
30,200,0.15,0.5,0.01,2000,2000,0.0015,1.0
30,200,0.15,0.5,0.05,2000,2000,0.0035,1.0
30,200,0.15,0.5,0.1,2000,2000,0.003,1.0
35,50,0.08,0.1,0.01,2000,2000,0.002,1.0
35,50,0.08,0.1,0.05,2000,2000,0.006,1.0
35,50,0.08,0.1,0.1,2000,2000,0.004,1.0
35,50,0.08,0.3,0.01,2000,2000,0.0015,0.943
35,50,0.08,0.3,0.05,2000,2000,0.003,0.9545
35,50,0.08,0.3,0.1,2000,2000,0.0025,0.9725
35,50,0.08,0.5,0.01,2000,2000,0.0025,0.8525
35,50,0.08,0.5,0.05,2000,2000,0.002,0.9
35,50,0.08,0.5,0.1,2000,2000,0.002,0.931
35,50,0.1,0.1,0.01,2000,2000,0.0025,0.9995
35,50,0.1,0.1,0.05,2000,2000,0.0025,0.9995
35,50,0.1,0.1,0.1,2000,2000,0.0025,1.0
35,50,0.1,0.3,0.01,2000,2000,0.0035,0.9695
35,50,0.1,0.3,0.05,2000,2000,0.001,0.9695
35,50,0.1,0.3,0.1,2000,2000,0.0015,0.981
35,50,0.1,0.5,0.01,2000,2000,0.0025,0.948
35,50,0.1,0.5,0.05,2000,2000,0.003,0.949
35,50,0.1,0.5,0.1,2000,2000,0.0005,0.965
35,50,0.12,0.1,0.01,2000,2000,0.003,1.0
35,50,0.12,0.1,0.05,2000,2000,0.004,1.0
35,50,0.12,0.1,0.1,2000,2000,0.0015,1.0
35,50,0.12,0.3,0.01,2000,2000,0.0025,0.961
35,50,0.12,0.3,0.05,2000,2000,0.005,0.971
35,50,0.12,0.3,0.1,2000,2000,0.0025,0.975
35,50,0.12,0.5,0.01,2000,2000,0.0015,0.942
35,50,0.12,0.5,0.05,2000,2000,0.002,0.9495
35,50,0.12,0.5,0.1,2000,2000,0.002,0.9555
35,50,0.15,0.1,0.01,2000,2000,0.003,0.999
35,50,0.15,0.1,0.05,2000,2000,0.0025,1.0
35,50,0.15,0.1,0.1,2000,2000,0.0015,1.0
35,50,0.15,0.3,0.01,2000,2000,0.002,0.9635
35,50,0.15,0.3,0.05,2000,2000,0.0015,0.971
35,50,0.15,0.3,0.1,2000,2000,0.004,0.9755
35,50,0.15,0.5,0.01,2000,2000,0.004,0.922
35,50,0.15,0.5,0.05,2000,2000,0.0025,0.943
35,50,0.15,0.5,0.1,2000,2000,0.0035,0.9635
35,100,0.08,0.1,0.01,2000,2000,0.0035,1.0
35,100,0.08,0.1,0.05,2000,2000,0.005,1.0
35,100,0.08,0.1,0.1,2000,2000,0.0025,1.0
35,100,0.08,0.3,0.01,2000,2000,0.006,1.0
35,100,0.08,0.3,0.05,2000,2000,0.0035,1.0
35,100,0.08,0.3,0.1,2000,2000,0.003,1.0
35,100,0.08,0.5,0.01,2000,2000,0.0015,1.0
35,100,0.08,0.5,0.05,2000,2000,0.003,1.0
35,100,0.08,0.5,0.1,2000,2000,0.001,1.0
35,100,0.1,0.1,0.01,2000,2000,0.002,1.0
35,100,0.1,0.1,0.05,2000,2000,0.0035,1.0
35,100,0.1,0.1,0.1,2000,2000,0.001,1.0
